iter,ns,epot,ekin,etot,T,ext_force_x_atom0,ext_force_x_atom1026,molecular_extension,t
70000,0.06999999999999999,[-939.0345660448074],[998.84619141],[59.81162536],[326.28514645],0.4815036952495575,-0.05929222330451012,3.34212589263916,1702.0946497917175
75000,0.075,[-427.9390848875046],[998.36383057],[570.42474568],[326.12757747],0.6471797823905945,-0.02962017059326172,3.0784096717834473,1825.5829136371613
80000,0.08,[-928.2798202335835],[1043.79199219],[115.51217195],[340.96723396],0.47632333636283875,-0.08065223693847656,3.4542646408081055,1948.8640251159668
85000,0.08499999999999999,[-1467.7312581539154],[997.25097656],[-470.48028159],[325.7640503],1.436411738395691,-0.1369188278913498,0.9896712303161621,2072.657612323761
90000,0.09,[-741.7931486368179],[1036.82824707],[295.03509843],[338.69244269],1.1506446599960327,0.09099159389734268,2.35015869140625,2196.065364599228
95000,0.095,[-884.1652646660805],[1001.41937256],[117.25410789],[327.12570709],0.536578357219696,0.21986274421215057,4.283796310424805,2311.932668685913
100000,0.09999999999999999,[-848.3962026780937],[1028.57421875],[180.17801607],[335.99616486],-0.015292740426957607,-0.02415638044476509,5.129720211029053,2434.940003633499
105000,0.105,[-827.9507075529546],[1001.23864746],[173.28793991],[327.06667106],0.06510734558105469,0.05122089385986328,5.193457126617432,2559.1080315113068
110000,0.11,[-508.9112173318863],[1003.01849365],[494.10727632],[327.64807926],-0.31795579195022583,-0.09056682884693146,5.872939586639404,2682.5675473213196
115000,0.11499999999999999,[-664.6155750751495],[974.63476562],[310.01919055],[318.37619243],-0.39453813433647156,-0.036889076232910156,6.27488374710083,2806.513025999069
120000,0.12,[-572.9827923476696],[1072.07275391],[499.08996156],[350.20548561],-0.3889511227607727,0.3229997754096985,7.236932277679443,2930.089915752411
125000,0.125,[-1057.0173703730106],[990.61877441],[-66.39859596],[323.59756154],-0.36132851243019104,0.3470989167690277,7.304417610168457,3055.4136867523193
130000,0.13,[-911.1285884827375],[961.12457275],[49.99598427],[313.9629251],-0.020293807610869408,0.27715855836868286,6.353273868560791,3179.1510965824127
135000,0.13499999999999998,[-936.952731102705],[999.38842773],[62.43569663],[326.46227448],0.291363924741745,0.3409757614135742,5.809966564178467,3302.7613813877106
140000,0.13999999999999999,[-751.3182980418205],[1029.5703125],[278.25201446],[336.32155089],0.7780365347862244,0.004277229309082031,3.8278326988220215,3426.406751871109
145000,0.145,[-1125.3404247760773],[1023.06481934],[-102.27560544],[334.19645315],1.0881885290145874,-0.24321842193603516,2.510007381439209,3549.8310787677765
150000,0.15,[-673.7591729164124],[982.69403076],[308.93485785],[321.00884851],1.5962196588516235,-0.33119773864746094,1.0962753295898438,3672.7285017967224
155000,0.155,[-1033.0615468025208],[999.9107666],[-33.1507802],[326.63290277],1.6231902837753296,-0.4649227261543274,0.7708301544189453,3796.1043305397034
160000,0.16,[-982.475296497345],[1045.83044434],[63.35514784],[341.63311892],1.6107780933380127,-0.5437954068183899,0.6809730529785156,3919.3062703609467
165000,0.16499999999999998,[-734.1796524524689],[1051.17504883],[316.99539638],[343.37899839],0.839508056640625,-0.8411960601806641,1.9419403076171875,4042.974431037903
170000,0.16999999999999998,[-901.3000092506409],[966.64715576],[65.34714651],[315.7669434],1.2716106176376343,-1.1387557983398438,0.1940784454345703,4166.533827781677
175000,0.175,[-891.4544928073883],[1050.30151367],[158.84702086],[343.09364761],0.5351242423057556,-1.5250999927520752,1.1457281112670898,4289.893655538559
180000,0.18,[-1128.5754182338715],[995.60522461],[-132.97019362],[325.22644559],-0.2182544767856598,-1.3038387298583984,3.6586217880249023,4413.8567237854
185000,0.185,[-902.3392074108124],[975.97613525],[73.63692784],[318.81436698],0.37009546160697937,-0.8084659576416016,3.5024728775024414,4537.769088983536
190000,0.19,[-975.5403764247894],[1036.23327637],[60.69289994],[338.49808834],0.44219285249710083,-0.6043533682823181,3.9088048934936523,4661.19402885437
195000,0.19499999999999998,[-976.9470399618149],[1007.16027832],[30.21323836],[329.00104314],0.6015140414237976,-0.9367057681083679,2.7559146881103516,4784.270193576813
